순번,카테고리,질문,답변
11,가입 / 탈퇴,개인정보 수정은 어떻게 하나요?,"개인정보는 홈 화면에서 '마이페이지' 버튼 클릭 후 '개인정보 수정'을 통해 수정하실 수 있습니다. 단, 아이디로 사용된 이메일 주소는 수정이 불가합니다."
12,가입 / 탈퇴,회원 탈퇴는 어떻게 하나요?,회원 탈퇴는 전체 메뉴 > 이름 선택 시 '회원 탈퇴' 버튼을 통해 진행하실 수 있습니다. 탈퇴 철회나 기타 문의 사항은 mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다.
13,가입 / 탈퇴,회원 탈퇴 시 보유한 바우처 및 Coin은 어떻게 되나요?,"회원 탈퇴 시 고객님께서 보유하고 계신 바우처 및 Coin은 사용이 불가하며, 회원탈퇴 요청일로부터 5일 이내에 회원탈퇴 요청을 철회하지 않을 경우 자동으로 소멸됩니다."
14,가입 / 탈퇴,회원 탈퇴 후 다시 가입을 하면 등급과 Coin이 유지되나요?,"회원 탈퇴 시 회원정보는 모두 삭제되며, 삭제된 데이터는 복구가 불가능합니다. 다만, 법령에 의하여 보관해야 하는 경우 또는 회원가입 남용, 서비스 부정사용 등을 위한 회사 내부 정책에 의하여 보관해야 하는 정보는 회원탈퇴 후에도 일정 기간 보관될 수 있습니다."
15,가입 / 탈퇴,회원 탈퇴 후 재가입이 가능한가요?,회원 탈퇴 후 30일간 재가입이 불가능합니다.
16,가입 / 탈퇴,"새 계정을 사용하고 싶은데, 이미 기존 계정에 본인 인증이 되어 있습니다.","본인 인증 삭제 또는 계정 삭제를 원하실 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다. 단, 삭제 이후 새 계정 생성 및 본인 인증은 직접 진행해 주셔야 합니다."
17,차량 등록,차량 등록은 왜 해야 하나요?,"차량 등록은 MINI/BMW 신차 구매 고객을 인증하는 방법입니다. 차량 등록을 통해 차량 구매자에게만 제공되는 등급별 혜택을 누리시기 바랍니다. 한편, Vantage 계정 정보와 인보이스 상 차량 구매 정보(명의 등)가 일치하지 않을 경우 등급 산정에 불이익이 발생하는 점 유의 바랍니다."
18,차량 등록,BMW 모토라드도 등록이 가능한가요?,BMW 모토라드는 등록이 불가능합니다.
19,차량 등록,개인 또는 법인 사업자 고객도 차량 등록이 가능한가요?,"MINI 혹은 BMW 공식 웹사이트 내 Vantage 차량 등록 신청 안내를 통해 신청 방법과 증빙 서류를 확인하실 수 있습니다. 추가 도움이 필요하신 경우, MINI/BMW 공식 딜러사 영업 사원에게 문의 바랍니다."
20,차량 등록,렌터카 고객도 차량을 등록하고 혜택을 받을 수 있나요?,"장기 렌터카 이용 고객에 한해, 등급에 따른 멤버십 혜택이 제공됩니다. 단, 신차 구매 최초 출고 시 등록했던 휴대전화 번호와, Vantage 본인 인증 정보가 일치할 경우에만 직접 등록이 가능합니다."
21,차량 등록,차량 등록은 어떻게 하나요?,"차량 등록은 홈 화면 내 '차량 등록' 버튼을 통해 진행하시면 됩니다. 만약 차량 등록에 오류가 발생하거나 차대번호 인식이 되지 않을 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다"
22,차량 등록,차대번호(VIN) 는 어디서 찾을 수 있나요?,"차대번호는 총 17자리의 알파벳과 숫자의 조합으로 되어있으며, 차량등록증, 차량보험증명서 또는 운전석 도어 스텝에 부착된 스티커를 통해 확인하실 수 있습니다."
23,차량 등록,차량 구매 시기와 상관없이 차량 등록이 가능한가요?,"2013년 2월 1일 이후 신차 구매 고객 기준으로, MINI/BMW 차량 모두 등록이 가능합니다. 단, 등급 적용은 2017년 1월 1일 이후 출고한 차량부터 반영됩니다."
24,차량 등록,Vantage 에서 차량 등록이 되지 않습니다.,"오류 메시지가 지속적으로 노출된다면, MINI/BMW 신차 구매 최초 출고 시 등록했던 휴대전화 번호와 Vantage 본인 인증 정보가 일치하지 않거나, 이미 차대번호가 등록 완료되었을 경우 등이 있습니다. mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다."
25,차량 등록,"'유효하지 않은 차대번호 입니다. 확인 후 다시 시도해 주세요. 올바른 차대번호를 사용하였는데도 문제가 지속된다면, Vantage 고객센터로 연락 바랍니다.' 라는 메시지가 노출되어 등록이 되지 않습니다.","오류 메시지가 지속적으로 노출된다면, MINI/BMW 신차 구매 최초 출고 시 등록했던 휴대전화 번호와 Vantage 본인 인증 정보가 일치하지 않거나, 이미 차대번호가 등록 완료되었을 경우 등이 있습니다. mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다."
26,차량 등록,차량 등록에 필요한 서류는 어떻게 확인 하나요?,필요 서류는 'MINI 공식 홈페이지 > 서비스 & 액세서리 > MINI CONNECTED > MINI 밴티지 > MINI 밴티지 차량 등록 안내 > 차량 등록 신청하기' 혹은 'BMW 공식 홈페이지 > 더 알아보기 > BMW 앱 > BMW 밴티지 > BMW 밴티지 차량 등록 안내 > 차량 등록 신청하기'에서 확인하실 수 있습니다.
27,차량 등록,차대 등록을 완료했는데도 등급 적용이 되지 않습니다.,"누적 구매 금액 및 등급 반영의 경우, 차량 등록일의 다음달 1주차(영업일 기준)에 반영됩니다. 다만 이 기간이 지나서도 반영되지 않을 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다."
28,차량 등록,최대 몇 대의 차량을 등록할 수 있나요?,"구입하신 MINI, BMW 브랜드 관계 없이? 모두 합하여 최대 10대까지 Vantage에 등록이 가능합니다. 차량 추가 등록을 원하실 경우, 기존 등록된 차량을 삭제하여 새로운 차량을 추가하실 수 있습니다. 기존 등록된 차량 삭제를 원하실 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다."
29,차량 등록,"차대 등록을 완료하였지만, 다른 계정으로 변경하여 등록하고 싶습니다.","여러 계정에 동일한 차대를 등록하시는 것을 불가능합니다. 기존 등록된 '구매 차량' 삭제를 원하실 경우, mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 문의 바랍니다. 기존 등록된 '소유 차량'의 경우 삭제를 원하실 경우, '차량관리 > 소유 차량> 목록에서 삭제하기' 버튼을 클릭하여 차대를 삭제하실 수 있습니다."
30,등급 / BMW COIN,Vantage 등급은 어떻게 구성되나요?,"Vantage는 블루>브론즈>실버>골드>블랙 티어로 이루어져 있습니다. 티어는 구매 차대의 금액대에 따라 선정되며, 2017년 1월 1일 신차 구매 고객부터 등급 산정 대상 고객에 포함됩니다. 등급 구분은 등급 산출 시점을 기준으로 과거 10년의 구매 금액이 3억원 이상인 고객은 블랙, 1억원 이상 3억원 미만인 고객은 골드, 1억원 미만인 고객은 실버 그리고 기존 고객(2017년 이전 신차 구매 고객 포함) 및? 중고차 구매 고객은 브론즈 등급, 차량 미구매자 고객은 블루 등급이 부여됩니다."
31,등급 / BMW COIN,등급의 유효기간은 어떻게 되나요?,"등급 산정은 산출 시점 기준 과거 10년의 MINI 혹은 BMW 신차 구매 금액을 기준으로 산정합니다. 등급 산정 예시: 2020년 Vantage 회원 가입 후 2021년 MINI 쿠퍼 신차 구매 시 실버 등급이 부여되며, 추가로 2024년에 MINI 컨트리맨 신차 재구매 시 골드 등급이 부여됩니다. 이후 신차 구매 이력이 없을 시 등급은 2031년 이후 실버 등급으로 변경되며 다시 2034년에는 블루 등급으로 변경 조정됩니다."
32,등급 / BMW COIN,Coin은 무엇인가요?,Vantage 고객 전용 멤버십 포인트입니다.
33,등급 / BMW COIN,Coin은 어떤 기준으로 지급되나요?,Coin은 앱 내 다양한 활동 또는 특정 제휴사 이벤트 참여 및 제품 구매 시에 적립이 가능합니다.
34,등급 / BMW COIN,Coin의 유효 기간이 있나요?,"Coin의 유효기간은 5년이며, 5년 경과 후 소멸됩니다."
35,등급 / BMW COIN,Coin은 어떻게 사용할 수 있나요?,"MINI/BMW 공식 딜러 전시장 및 서비스센터, 드라이빙 센터에서 현금처럼 사용하실 수 있으며, Vantage 내에서 다양한 제휴 브랜드의 포인트로 전환 및 바우처를 구매하실 수 있습니다."
36,등급 / BMW COIN,결제 시 Coin이 모자라면 어떻게 해야 하나요?,"Vantage에서는 Coin 부족 시 바우처 등을 구매하는 것이 불가합니다. 하지만 오프라인 결제 시에는 Coin 잔액을 모두 사용하고, 추가금을 카드나 현금 등을 통해 결제할 수 있습니다."
37,등급 / BMW COIN,보유한 Coin을 현금으로 교환할 수 있나요?,"Coin은 MINI Korea에서 지정한 사용처에서만 사용이 가능하며, 현금 또는 기타 재화 및 서비스와 교환할 수 없습니다."
38,등급 / BMW COIN,Coin을 선물할 수 있나요?,Coin의 선물 및 양도는 불가합니다.
39,등급 / BMW COIN,MINI/BMW 공식 서비스 센터에서 Coin 결제 시 환불 정책은 어떻게 되나요?,MINI/BMW 서비스 센터에서 Coin 으로 결제 시 취소 및 환불은 거래일로부터 90일 이내 가능합니다. 거래일 기준 90일 후에는 거래 취소 및 환불은 어려운 점 양해 부탁 드립니다.
40,혜택(바우처/쿠폰),바우처의 유효기간은 얼마나 되나요?,"바우처 별로 유효기간이 상이하며 자세한 유효기간 안내는? Vantage 내 '바우처' 탭에서 상세 내용을 확인해 주시기 바랍니다. 단, Coin으로 구매한 바우처는 유효기간 경과 시 100% Coin으로 환불됩니다. 유효기간 만료 30일 이후 Coin 환불이 진행되지 않았다면 mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 연락 바랍니다."
41,혜택(바우처/쿠폰),바우처 현장에서 Coin 사용이 가능한가요?,"현재 제휴 서비스 제외, '바우처' 탭 내 존재하는 바우처에서는 현장에서 스캔 후 Coin으로 결제가 불가합니다."
42,혜택(바우처/쿠폰),바우처 및 혜택을 친구에게 선물할 수 있나요?,"현재 바우처/혜택의 선물 및 양도는 불가합니다. 특히 항공 마일리지 변환의 경우 Vantage 고객 정보와 마일리지 변환 희망 고객 이름 및 휴대전화번호가 동일해야 변환이 가능합니다. 가족에게 마일리지 이관을 희망하실 시 본인 계정으로 마일리지 변환 이후 항공사에 마일리지 이관을 문의하시기 바랍니다."
43,혜택(바우처/쿠폰),제휴 바우처나 쿠폰을 어떻게 사용할 수 있나요?,"Vantage 내 '바우처' 탭에서 Vantage 가 제공하는 여러 제휴 혜택 및 바우처를 확인하실 수 있습니다. 구매 후 '나의 바우처' 탭에서 구매하신 바우처를 사용하실 수 있습니다. 혜택에 따라 월별/연간 이용에 제한이 있는 바우처가 있을 수 있으며 제휴사의 사정에 따라 혜택은 예고 없이 변경 또는 중단될 수 있습니다. 이외 Vantage의 제휴 브랜드는 MINI/BMW 공식 웹사이트에서 확인하실 수 있습니다."
44,혜택(바우처/쿠폰),"제휴 서비스 및 바우처를 구매했는데, Coin만 사라지고 구매 및 예약이 진행되지 않았습니다.",결제 문제 발생 시 mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 연락 바랍니다.
45,혜택(바우처/쿠폰),에어포트 서비스는 누구나 예약 가능한가요?,MINI 혹은 BMW 차대를 소유하고 계신 고객이라면 누구나 예약 및 이용이 가능합니다.
46,혜택(바우처/쿠폰),"에어포트 서비스를 예약하고, 타 브랜드의 차를 가져가도 되나요?","MINI, BMW 외 타 브랜드의 차량을 입고 시 서비스 이용이 불가능합니다."
47,혜택(바우처/쿠폰),구입한 바우처는 어떻게 환불할 수 있나요?,"사용 전 바우처는 '나의 바우처' 탭 내에서 바우처를 선택하신 후, '바우처 환불'을 이용하여 환불 가능합니다. 문제 발생 시에는 mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000)로 연락 바랍니다."
48,이용문의 / 고객센터,"문의사항이 있거나, 앱의 버그/오류 발견 시 어디에 연락하면 되나요?",mini@mini.co.kr 또는 MINI 커뮤니케이션 센터(080-700-8000) 로 연락 바랍니다.? MINI 커뮤니케이션 센터 상담 시간은 평일 09시 - 18시입니다.
49,MINI 서비스,기존 Warranty Plus 상품과 무엇이 다른가요?,"기존에 하나의 상품이었던 Warranty Plus가 MINI의 보증 연장 서비스를 대표하는 브랜드로 변경되었습니다. 보증 연장 서비스를 기반으로 다양한 업그레이드 상품이 출시되었으며, 가입 조건에 따라 신차 구매 후 인도일로 부터 90일 이내는 Warranty Plus Premium 또는 Warranty Plus Lite 상품을 선택하여 가입이 가능하며,? 90일이 초과되고 보증만료 전이라면 Warranty Plus Standard 상품 가입이 가능합니다."
50,MINI 서비스,Warranty Plus Premium과 Warranty Plus Lite 상품의 차이점은 무엇인가요?,"두 상품 모두 MINI Korea에서 운영하는 상품으로 Warranty Plus Premium 은 보증 연장과 모빌리티 프로그램 뿐만 아니라, 신차 교환, 토탈바디케어 등 모든 프로그램을 커버하는 풀 패키지 상품인 반면, Warranty Plus Lite는 보증 연장과 모빌리티 프로그램으로만 구성된 보다 합리적인 가격의 상품입니다."
51,MINI 서비스,Warranty Plus 가입 가능 모델은 어떻게 되나요?,"MINI, JCW, Electric MINI 전 모델 가입이 가능합니다. 가입 모델 관련 상세 문의는 Warranty Plus 전담 고객 센터로(1544-0199) 문의 바랍니다."
52,MINI 서비스,Warranty Plus 상품 가입 절차는 어떻게 되나요?,"전국의 MINI 공식 딜러 전시장 또는 서비스센터에서 가입 가능합니다. 세일즈 컨설턴트 또는 서비스 어드바이저를 통해 상품을 안내받으신 뒤 가입 동의, 결제 절차에 따라 가입됩니다."
53,MINI 서비스,Warranty Plus Premium 상품의 특정 프로그램 만을 선택하여 가입이 가능 한가요?,"아니요, 해당 상품은 패키지로 구성된 상품으로 별도 각각의 프로그램으로는 판매되지 않습니다."
54,MINI 서비스,렌터카 등 영업용 차량도 가입 가능한가요?,"모든 렌터카, 영업용 차량은 가입이 불가합니다. 단, 36개월 이상 대여 기간을 정해 계약된 장기 렌터카 제외 됩니다. 상세 내용은 약관을 참조해주시기 바랍니다."
55,MINI 서비스,Warranty Plus는 해외에서 구매한 MINI 차량도 가입이 가능한가요?,MINI Korea를 통해 판매된 차량에 한해 가입이 가능합니다.
