순번,카테고리,질문,답변
17,원격 제어,"차량 명의자가 아닌 가족, 지인도 원격 제어를 쓸 수 있나요?","네, 차량을 처음 등록한 대표자가 ‘토요타 커넥트’ 앱을 통해 최대 3명까지 '공유 사용자'로 초대하여 원격 제어 기능을 함께 사용할 수 있습니다."
18,원격 제어,차량 배터리가 부족해서 원격 시동이 안 걸리면 알려주나요?,"배터리 저전압으로 인해 원격 시동에 실패할 경우, 스마트폰 알림으로 실패 사유가 안내됩니다."
19,원격 제어,전기차(또는 PHEV) 충전 관리도 리모트 앱으로 되나요?,
20,원격 제어,원격 제어 핀 번호를 초기화하고 싶어요.,아래 경로를 통해 핀 번호를 재설정하실 수 있습니다. [토요타 리모트 접속 > 좌측 상단 ? > 환경설정 > 원격 제어를 위한 핀 재설정]
21,안전 및 긴급 서비스,사고가 나면 자동으로 신고가 되나요?,차량이 일정 수준 이상의 강한 충격을 감지하면 자동으로 콜센터에 연결됩니다.
22,안전 및 긴급 서비스,운전하다가 응급 상황이 생기면 어떻게 구조 요청을 하나요?,"차량 오버헤드 콘솔에 있는 'SOS 버튼'을 누르면 수동으로 긴급 콜센터와 연결됩니다. 상담사를 통해 긴급 견인 서비스, 소방차, 응급차 등의 신속한 지원을 요청할 수 있습니다."
23,안전 및 긴급 서비스,긴급 콜센터는 언제 운영되나요?,긴급 콜센터는 연중무휴 24시간 상시 운영됩니다.
24,안전 및 긴급 서비스,차량 도난 시 위치 추적은 어떻게 진행되나요?,"도난 신고가 접수되면, 콜센터가 경찰로부터 위치 추적 협조 공문을 수령한 후 도난 차량의 위치 확인을 지원합니다."
25,안전 및 긴급 서비스,창문이나 차 문을 열어두고 내리면 스마트폰으로 경고 알림이 오나요?,
26,인포테인먼트 및 미디어,토요타 TV와 essential;을 사용하려면 로그인이 필요한가요?,"토요타 커넥트 서비스 외의 별도의 로그인이나 가입 없이 사용이 가능합니다."
27,인포테인먼트 및 미디어,토요타 TV와 essential;의 콘텐츠는 바뀌나요?,토요타 TV와 essential;의 콘텐츠는 최신 트렌드를 반영해 정기적으로 업데이트 됩니다.
28,인포테인먼트 및 미디어,주행 중에도 토요타TV를 볼 수 있나요?,안전을 위해 주행 중에는 영상이 송출되지 않습니다.
29,인포테인먼트 및 미디어,essential; 서비스는 무엇인가요?,"[벅스]의 음악 큐레이션 서비스입니다. 감성적인 앨범 아트와 함께 음악을 선곡해 주며, 주행 중에도 인테리어 효과를 연출할 수 있습니다."
30,인포테인먼트 및 미디어,통신 연결이 끊기면 AI 음성 인식 기능을 쓸 수 없나요?,"네, 통신이 끊길 경우 음성 인식 기능이 작동하지 않습니다."
