순번,카테고리,질문,답변
11,리콜,리콜 정비를 받는데 비용이 드나요?,리콜 정비를 받는데 별도의 비용은 들지 않습니다
12,리콜,리콜 서비스는 반드시 받아야 하나요?,고객님들의 안전과 차량의 성능에 영향을 끼칠 수 있기 때문에 반드시 받으셔야 합니다.
13,리콜,온라인을 통해서 리콜 확인을 할 수 있는 방법이 있나요?,자동차리콜센터를 통해 확인이 가능합니다. (www.car.go.kr)
14,리콜,리콜을 받기 위해서 서비스센터를 예약하고 방문해야 하나요?,리콜 서비스를 받기 위해서는 사전에 서비스센터를 예약하고 방문하셔야 됩니다. 'My Honda App' 또는 서비스센터에 전화로 예약 후 방문을 부탁드립니다.
15,리콜,리콜 통지 이후 언제까지 리콜 서비스를 받아야 하나요?,"정해진 기간은 없습니다. 다만, 고객님들의 안전과 직결된 부분이기 때문에 가급적 빠른 시일내에 받으시는 것을 추천드립니다."
16,리콜,혼다코리아는 고객에게 리콜을 어떻게 통지하나요?,"등록되어 있는 주소 및 휴대폰 번호를 기준으로 우편, SMS를 통하여 안내하고 있습니다.
리콜을 통지 받지 못한 경우에는 연락처 확인을 위하여 혼다 고객센터(080-360-0505)나 가까운 서비스센터에 문의하십시오."
17,리콜,"차량을 구매했을 때와 지금 사는 곳의 주소가 다른데, 리콜 통지는 어디로 하나요?","구매했을 때의 주소가 아닌, 자동차 등록증에 기재된 주소로 발송됩니다."
18,Honda Connect,'Honda Connect' 란 무엇인가요?,차량을 안심하고 쾌적하게 사용하기 위하여 자동차와 정보통신 기술을 융합한 모바일 어플리케이션입니다.
19,Honda Connect,제공하는 기능은 무엇이 있나요?,"고객님의 편의를 위하여 'Honda Connect'에서는 아래와 같이 다양한 기능을 제공하고 있습니다.
1. 원격 기능 - 원격으로 문을 잠그고 열 수 있습니다.
2. 차량 상태 확인 - 차량의 문 열림 상태나 남은 연료를 확인할 수 있습니다.
3. 나의 차량 찾기 - 내 차량의 정확한 위치를 안내합니다.
4. 경고 정보 수신 - 차량에 뜨는 경고 표시등 정보를 공유합니다.
보다 자세한 내용은 서비스 센터 혹은 고객센터를 통하여 확인을 부탁드립니다."
20,Honda Connect,모든 차량에서 사용을 할 수 있나요?,'Honda Connect'는 23년 이후에 출시된 차량에 대해서만 사용이 가능합니다.
21,Honda Connect,서비스를 이용하는데 비용이 드나요?,"신차 등록일부터 5년 동안은 무료로 이용하실 수 있습니다.
이후, 비용에 대해서는 추후 안내드릴 수 있도록 하겠습니다."
22,Honda Connect,어디에서 App을 다운로드 받을 수 있나요?,Google Play Store 또는 App Store에서 'Honda Connect Korea' 어플리케이션을 다운로드 받아 주세요.
23,Honda Connect,병행수입을 한 차량에서도 이용이 가능한가요??,혼다코리아에서 공식 수입한 차량에 대해서만 이용이 가능합니다.
