순번,카테고리,질문,답변
14,서비스 & 보증,My BMW 앱에서 예약한 서비스 스케줄을 BMW 웹사이트에서 변경하거나 취소할 수 있습니까?,My BMW 앱을 사용하여 예약한 서비스 스케줄은 BMW 웹사이트에서 취소할 수 있습니다. BMW 웹사이트의 머리글에 있는 프로필 아이콘을 클릭하고 BMW ID로 로그인하십시오. 로그인에 성공했다면 프로필 아이콘을 다시 클릭한 후 내 주문- BMW 온라인 예약시간 약속 순으로 선택하십시오. 그런 다음 휴지통 아
15,서비스 & 보증,BMW 웹사이트에서 BMW 서비스 센터에 서비스 스케줄을 예약하려면 어떻게 해야 합니까?,"BMW 웹사이트의 머리글에 있는 프로필 아이콘을 클릭하고 BMW ID로 로그인하십시오. 로그인에 성공했다면 서비스-BMW Service-온라인 스케줄 예약 순으로 선택하십시오. BMW 웹사이트의 머리글에서 ""서비스센터 위치 찾기""아이콘을 선택하고 BMW 서비스 센터를 선택한 후 ""온라인 예약시간 약속""을 선택하는"
16,서비스 & 보증,BMW 웹사이트에서 선호하는 BMW 공식 서비스 센터를 어떻게 저장하거나 변경할 수 있습니까?,"BMW 웹사이트에서 선호하는 BMW 공식 서비스 센터를 저장하거나 변경하려면 BMW 웹사이트 상단에 프로필 아이콘을 클릭한 후 BMW ID로 로그인하십시오. 로그인 후 프로필 아이콘을 다시 클릭하여 ""내 차량""> ""차량 세부정보""> ""서비스 센터"". BMW 서비스 센터를 찾아서 선호하는 BMW 공식 서비스 센터로 저"
17,차량 정보 & 옵션,BMW 공식 홈페이지에서 온라인으로 서비스 날짜를 예약하면 어떤 서비스가 제공됩니까?,현재 고객님의 BMW에 제공되는 서비스는 BMW 공식 서비스 센터의 규모에 따라 다를 수 있습니다.
18,구매 & 리스,My BMW 앱에서 곧바로 사용할 수 있는 BMW 신차를 검색할 수 있습니까?,"My BMW 앱에서 즉시 구매 가능한 신차를 검색하거나 BMW 모델을 구성하려면 다음 순서로 선택하십시오. ""서비스""(탭) > ""나의 새로운 BMW 알아보기""."
19,전기차 & 충전,BMW Operating System 8을 탑재한 내 BMW 전기 자동차에서 eRoute에 대해 무엇을 설정할 수 있습니까?,BMW Maps는 항상 BMW Operating System 8을 탑재한 BMW 전기 자동차를 위한 가장 빠른 경로를 계획합니다. 목적지 또는 경유지(충전소) 도착 시 고전압 배터리의 충전상태를 설정할 수 있습니다. 수동으로 충전소를 eRoute에 추가하면 BMW Maps는 목적지까지의 추가 충전소를 다시 계산합니다
20,서비스 & 보증,BMW 차량의 유지보수 주기는 어떻게 계산됩니까?,"BMW의 경우 정비는 정해진 간격으로 주기적으로 실행되지 않습니다. 대신 실제 차량 사용(냉시동 ??횟수, 운전 습관, 주행 유형: 도심 운행, 고속도로 등)을 기반으로 합니다. ""상태 기반 서비스""(CBS)를 통해 센서와 특수 알고리즘으로 BMW 차량의 상태를 감시합니다. 신차의 경우 첫 서비스 날짜는 이론에 따라"
21,차량 정보 & 옵션,2022년 부분변경 이후의 BMW 8er은 어떤 모델을 갖추고 있습니까?,"BMW 8 시리즈는 BMW 브랜드 중에서 가장 스포티한 럭셔리 모델 시리즈로서, BMW 8 시리즈 쿠페 및 4도어 BMW 8 시리즈 그란 쿠페를 갖추고 있습니다."
22,차량 정보 & 옵션,BMW iX 부분 변경 모델의 라디에이터 그릴에는 어떤 특징이 있습니까?,BMW iX 부분 변경 모델의 BMW 라디에이터 그릴의 외관은 3차원 피라미드 구조를 사용해 최적화되었습니다. 라디에이터 그릴의 디자인은 사양에 따라 다양한 버전으로 제공됩니다. BMW iX의 전기식 구동장치에는 소량의 찬 공기만 유입되면 되므로 BMW 라디에이터 그릴은 완전히 닫혀 있습니다.
23,디지털 & 커넥티드 서비스,어떤 BMW 모델에서 BMW 디지털 키나 BMW 디지털 키 플러스를 사용할 수 있습니까?,"고객님의 BMW 및 스마트폰 또는 스마트워치의 국가, 모델, 사양에 따라 BMW 디지털 키 또는 BMW 디지털 키 플러스를 사용해 차량의 잠금을 해제하거나 잠그고 시동을 걸 수 있습니다."
24,차량 정보 & 옵션,내 BMW에 모든 M Performance Parts를 설치할 수 있습니까?,아니오. M Performance Parts는 각각의 BMW 모델에 정확히 알맞게 적용될 수 있도록 설계되었습니다. 고객님의 BMW에 알맞은 M Performance Parts를 찾으려면 BMW 액세서리 스토어에서 고객님이 저장한 차량을 선택하거나 BMW 서비스 센터를 통해 확인하십시오.
25,서비스 & 보증,어떤 모델에서 BMW Service Inclusive를 사용할 수 있습니까?,BMW Service Inclusive는 모든 BMW 모델에서 사용 가능합니다. 신차 및 중고차용 BMW Service Inclusive 패키지에 대한 자세한 정보와 가격은 BMW ConnectedDrive 스토어 또는 BMW 코리아 홈페이지에서 확인할 수 있습니다.
26,차량 정보 & 옵션,어떤 BMW 모델에 두 개 이상의 유아석을 부착할 수 있습니까?,BMW 차량에는 일반적으로 두 개의 ISOFIX 부착점이 있습니다. BMW X7(G07)에는 제3 시트열에 두 개의 추가 ISOFIX 부착점이 있으며 BMW 2 시리즈 그란 투어러(F46)에는 동승석 시트에 한 개의 추가 ISOFIX 부착점이 있습니다.
27,서비스 & 보증,어떤 모델에서 BMW Service 5+를 사용할 수 있습니까?,BMW Service 5+는 5년 이상된 많은 BMW 모델에서 사용할 수 있습니다.
28,차량 정보 & 옵션,BMW i3(2026년)의 출시는 어떤 모델로 시작됩니까?,BMW i3(2026)의 첫 번째 모델은 앞차축과 뒤차축 모두에 전기 모터가 장착된 BMW i3 50 xDrive입니다. 이 모터들은 함께 345kW/469마력의 시스템 출력과 645Nm의 토크를 제공합니다.
29,차량 정보 & 옵션,부분변경된 BMW X5와 X6 (2023년 4월 생산)은 어떤 구동 형식이 제공됩니까?,"부분변경된 BMW X5 (2023년 4월 생산)는 BMW xDrive가 장착된 휘발유, 디젤 엔진 또는 플러그인 하이브리드 전기 자동차(PHEV)로 제공됩니다. 부분변경된 BMW X6 (2023년 4월 생산)는 BMW xDrive가 장착된 휘발유 및 디젤 엔진으로 제공됩니다."
30,차량 정보 & 옵션,2022년 모델개선 후 어떤 BMW 8 시리즈 모델 버전이 BMW xDrive에 적용됩니까?,"BMW xDrive가 포함된 BMW 8 시리즈 (2022년 3월) 부분 변경 모델 버전의 제공 범위는 변경사항이 없습니다. 6기통 가솔린 엔진이 장착된 BMW 840i xDrive, 6기통 디젤 엔진이 장착된 BMW 840d xDrive 및 V8 가솔린 엔진이 장착된 BMW M850i xDrive 모델이 있습니다."
31,디지털 & 커넥티드 서비스,"'커넥티드 패키지 프로페셔널""에는 무엇이 포함되어 있습니까?","커넥티드 패키지 프로페셔널에는 다양한 디지털 서비스와 필요한 데이터량과 함께 다음과 같은 내비게이션, 인포테인먼트 또는 컴포트 영역의 BMW용 앱이 포함됩니다. 커넥티드 내비게이션(OTA/USB 맵 업데이트, 실시간 교통 정보 포함), 지도 업데이트, BMW 온라인 차량 앱, 온라인 음성 처리, 리모트 3D 뷰. 주..."
32,전기차 & 충전,플러그인 하이브리드 모델 BMW X3 xDrive 30e (2021년 8월) 부분 변경 모델에는 어떤 모터를 장착했습니까?,BMW X3 xDrive 30e (2021년 8월) 부분 변경 모델에는 135 kW/184 hp의 2.0리터 4기통 가솔린 엔진과 80 kW/109 hp의 전기 모터가 있습니다.
33,디지털 & 커넥티드 서비스,BMW 디지털 키는 무엇입니까?,BMW 디지털 키는 스마트폰이나 스마트 워치에 저장된 디지털 차량 키로서 편리하고 안전하게 BMW를 잠금 및 잠금 해제하고 시동을 걸 수 있습니다. BMW 디지털 키는 최대 5명과 공유할 수 있습니다.
34,차량 정보 & 옵션,내 BMW의 ECO PRO 모드에는 어떤 기능이 포함되어 있습니까?,"ECO PRO 모드는 BMW 이피션트다이내믹스의 혁신적인 기술이며 ECO PRO 보너스 주행가능거리, ECO PRO 시트 냉/난방, ECO PRO 냉/난방, ECO PRO 라이트 및 시야, 예측 주행 어시스턴트 등의 기능을 포함하고 있습니다."
35,차량 정보 & 옵션,내 BMW에서 ISOFIX 유아석을 어떻게 고정합니까?,BMW에서 ISOFIX 유아석을 부착하려면 적절한 ISOFIX 부착점이 있어야 합니다. 해당 BMW 모델 및 사양에 따라 이 부착점은 뒷좌석 바깥쪽 자리 또는 동반석의 좌석과 등받이 사이에 있습니다.
36,디지털 & 커넥티드 서비스,BMW 디지털 키는 어떻게 작동합니까?,"BMW 디지털 키는 근거리에 있는 두 기기 간의 무선 데이터 전송을 위한 무선 표준인 ""근거리 무선통신""(NFC)을 사용합니다."
37,서비스 & 보증,BMW 프리미엄 셀렉션 보증은 무엇입니까?,"BMW 인증 중고차는 5년, 그리고 10만km 이내의 차량에 한해 (전기차/M 차량 제외) 1년, 혹은 2만km BMW 프리미엄 셀렉션 보증을 포함합니다."
38,전기차 & 충전,BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차의 충전 절차가 계획되지 않게 중단된 경우 어떻게 해야 합니까?,"BMW 전기차 또는 플러그인 하이브리드 전기차의 충전 절차가 계획되지 않게 중지되는 원인은 다음과 같을 수 있습니다. 충전소의 기능 오류, 차량 잠금 해제, 충전소와의 차량 통신 오류, 제3자에 의한 수동 충전 중지. 이러한 경우, BMW는 충전용 케이블을 분리했다가 다시 연결하고 새로운 충전 절차를 시작할 것을 권..."
39,전기차 & 충전,내 BMW 전기차 또는 플러그인 하이브리드 차량 충전용 BMW 순정 액세서리를 온라인으로 구입할 수 있습니까?,"네, BMW 액세서리 스토어 에서 BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차의 충전을 위한 BMW 순정 액세서리를 구입할 수 있습니다."
40,전기차 & 충전,BMW 전기차 공용 DC 충전소는 어떻게 찾나요?,사용 가능한 공용 DC 충전소는 고객님의 BMW 내비게이션 시스템 또는 My BMW 앱을 사용하여 확인할 수 있습니다. 지도 및 충전소 관련 검색 결과의 아이콘은 공용 BMW Charging 충전소를 표시합니다. 유효한 계약으로 BMW Charging 카드 또는 BMW 앱을 사용할 수도 있습니다.
41,구매 & 리스,BMW 커넥티드 드라이브 스토어에서 구매한 후 Apple CarPlay는 BMW 차량에서 바로 활성화 되나요?,예 Apple CarPlay는 BMW 커넥티드 드라이브 스토어에서 구매한 후 고객님의 BMW에서 바로 사용 가능합니다. 주의 사항: 고객님의 BMW 차량에 커넥티드 드라이브 서비스가 업데이트되어 있어야 하며 날짜 및 시간이 올바르게 설정되어 있어야 합니다.
42,디지털 & 커넥티드 서비스,"BMW 커넥티드 드라이브 Upgrades 이후 내 BMW에서 ""리모트 엔진 스타트"" 기능을 활성화해야 합니까?","예 BMW 커넥티드 드라이브 업그레이드로 ""리모트 엔진 스타트"" 차량 기능을 예약한 경우 My BMW 앱에서 한 번 또는 디스플레이 키 또는 차량 키를 이용한 삼중 잠금을 통해 활성화하십시오. 주의 사항: 엔진 시동은 출발 시작 전 최대 15분 동안의 탑승자 공간 냉/난방에 사용됩니다."
43,구매 & 리스,BMW 커넥티드 드라이브 스토어에서 BMW 커넥티드 드라이브 서비스 구매에 대한 청구서를 확인할 수 있나요?,"BMW 커넥티드 드라이브 스토어( https://www.bmw.co.kr/ko/shop/ls/cp/connected-drive) 에서 BMW 커넥티드 드라이브 서비스 구매에 대한 청구서를 찾을 수 있습니다. BMW ID로 로그인한 후 우측 상단의 프로필 아이콘을 클릭하고 ""내 주문""을 선택하십시오...."
44,구매 & 리스,"BMW ConnectedDrive 스토어에서 구매한 후, Operating System 7을 탑재한 내 BMW에서 실시간 교통 정보(RTTI)를 활성화해야 합니까?","예 BMW 커넥티드 드라이브 스토어 에서 커넥티드 패키지 프로페셔널을 구매한 BMW 후 BMW 오퍼레이팅 시스템 7을 탑재한 BMW에서 해당 서비스를 활성화해야 합니다. 이를 위해서는 BMW 컨트롤러의 ""MAP"" 버튼을 누르고, BMW 컨트롤러를 오른쪽으로 젖힌 후, BMW iDrive에서 ""설정""> ""서비스 구성""..."
45,디지털 & 커넥티드 서비스,My BMW 앱에서 리모트 3D 뷰를 사용할 수 있습니까?,"My BMW 앱에서 리모트 3D 뷰를 사용하려면 BMW Live Cockpit 또는 내비게이션 시스템 프로페셔널이 탑재된 BMW에 공장 출고 시 선택사양으로 서라운드 뷰(SA 5DL) 또는 파킹 어시스턴트 플러스(SA 5DN) 및 커넥티드 패키지 프로페셔널(SA 6C3, SA 6C4)이 있어야 합니다."
46,디지털 & 커넥티드 서비스,"BMW 커넥티드 드라이브 스토어에서 구입한 후 ""BMW 디지털 프리미엄"" 상품의 앱이 내 BMW에서 자동으로 활성화됩니까?","옵션 상품인 ""BMW 디지털 프리미엄""과 함께 BMW 오퍼레이팅 시스템 9을 탑재한 BMW에서 게임, 비디오, 뉴스 및 팟캐스트 영역의 타사 앱 상품이 지속적으로 늘어나는 확장된 BMW 커넥티드 드라이브 스토어에 구매할 수 있습니다."
47,디지털 & 커넥티드 서비스,파킹 어시스턴트 프로페셔널을 BMW 커넥티드 드라이브 스토어에서 예약하면 내 BMW에서 자동으로 활성화됩니까?,예 BMW 커넥티드 드라이브 스토어에서 BMW 커넥티드 드라이브 업그레이드로 구입할 수 있는 파킹 어시스턴트 프로페셔널은 BMW 커넥티드 드라이브 스토어에서 구입한 후 몇 분 이내에 고객님의 BMW에서 자동으로 활성화됩니다. BMW 컨트롤 디스플레이에 메시지가 나타납니다.
48,구매 & 리스,BMW 커넥티드 드라이브 스토어에서 BMW ConnectedDrive 서비스를 구매하면 내 청구서에 10년이라는 기간이 표시되는 이유는 무엇입니까?,BMW 커넥티드 드라이브 스토어에서 [ www.bmw.co.kr/ko/shop/ls/cp/connected-drive ] 구매한 BMW 커넥티드 드라이브 서비스는 기재된 기간 동안 고객님의 BMW에서 사용할 수 있습니다. 국가에 따라 법적 규정에 의거하여 기간 제한 없이 사용 가능한 BMW 커넥티드 드라이브 서비스(...
49,디지털 & 커넥티드 서비스,BMW에서 음성입력은 어떻게 작동합니까?,음성입력은 BMW에서 해당 아이콘이 있는 스티어링 휠의 오른쪽 버튼(마이크 버튼)을 눌러 수행합니다. BMW 커넥티드 드라이브에서는 음성 명령이 클라우드의 인공 지능에 의해 처리되고 BMW 인텔리전트 퍼스널 어시스턴트가 훨씬 더 효과적으로 작동합니다.
50,디지털 & 커넥티드 서비스,"내 BMW의 ""주차 요금 결제"" 서비스를 사용할 수 있는 국가는 어디입니까?","차량 앱 ""주차 요금 결제""는 현재 벨기에, 덴마크, 독일, 핀란드, 이탈리아, 룩셈부르크, 네덜란드, 노르웨이, 오스트리아, 스웨덴, 스위스, 슬로바키아, 슬로베니아, 스페인, 체코 및 헝가리에서 사용할 수 있습니다. 주의 사항: BMW ID가 상기 국가 중 하나에 등록되어 있어야 합니다."
51,디지털 & 커넥티드 서비스,내 BMW X1(2022년 7월 - 2023년 10월 생산)의 소프트웨어를 업데이트할 수 있습니까?,"BMW X1(2022년 7월 - 2023년 10월 생산)에는 차세대 BMW iDrive 운영 체제인 ""BMW 오퍼레이팅 시스템 8""이 기본 사양으로 탑재되며, 이 운영 체제는 BMW 리모트 소프트웨어 업그레이드를 통해 정기적으로 업데이트됩니다."
52,차량 정보 & 옵션,내 BMW X1(2023년 11월 이후 생산)에서 어떤 디지털 서비스를 이용할 수 있습니까?,"BMW X1(2023년 11월 이후 생산)에는 BMW Live Cockpit Plus를 포함한 차세대 BMW iDrive 운영 체제인 ""BMW 오퍼레이팅 시스템 9""이 기본 사양으로 탑재됩니다. BMW 오퍼레이팅 시스템 9을 이용하여 BMW ID를 기반으로 고객에게 맞춘 확장된 기능 및 서비스의 이점을 누릴 수 있습..."
53,디지털 & 커넥티드 서비스,내 BMW에서 Android Auto를 어떻게 활성화하거나 비활성화합니까?,고객님의 BMW의 모델 및 사양에 따라 호환되는 스마트폰의 앱을 Android Auto를 통해 컨트롤 디스플레이에서 표시하고 조작할 수 있습니다. 고객님의 스마트폰에 대해 Android Auto를 한 번 설정한 뒤 예를 들어 Android Auto를 사용하지 않고 스마트폰을 사용하거나 BMW 앱 또는 기능을 사용하기...
54,디지털 & 커넥티드 서비스,개인용 eSIM은 어떻게 작동하며 My BMW 앱에서 어떻게 설정할 수 있나요?,"개인용 eSIM을 통해 차량에서 데이터 스트리밍 및 통화(통신사에 따라 다름)를 이용할 수 있습니다. 선택사양 ""개인용 eSIM""(SA 6PA)은 공장 출고 시 BMW 오퍼레이팅 시스템 8 이상을 탑재한 BMW 모델에 대해 BMW 커넥티드 드라이브 상품이 제공되는 모든 국가에서 전세계적으로 제공됩니다."
55,서비스 & 보증,"BMW 프리미엄 셀렉션 중고차의 ""360° 서라운드 체크""는 무엇입니까?","""360° 서라운드 체크""는 BMW 공식 테크니션의 전문 지식으로 차량의 모든 핵심 항목들을 철저하게 점검하며, 고객님께 해당 차량의 모든 점검 이력을 상세히 알려드립니다. 5년 10만km 이내 차량에 대해 판매되는 모든 BMW 공식 인증중고차 차량은 해당 검사를 진행하며, 고객님께 점검 서류를 제공하고 있습니다."
56,서비스 & 보증,BMW Service Inclusive는 무엇입니까?,"BMW Service Inclusive는 차량 인도일 기준 5년 또는 10만km까지 선도래 조건으로, 패키지의 모든 서비스 역량에 대한 혜택을 받을 수 있습니다. 고객님이 선택한 BMW 서비스 센터의 모든 정기 유지 보수 작업은 전 세계적으로 보장됩니다."
57,구매 & 리스,온라인으로 BMW 신차/중고 차량을 구입하거나 리스할 수 있습니까?,"BMW 신차/중고차 구매는 BMW 공식 딜러 전시장을 통해 가능하며, BMW 샵 온라인에서 운영 중인 모델에 한해 BMW 신차 온라인 구매가 가능합니다. 원하시는 차량, 공식 딜러사 및 전시장 선택 후, 구매하고자 하는 모델의 제안 가격으로 차량을 구입하거나 BMW Financial Services를 통해 할부 또는..."
58,구매 & 리스,BMW 트레이드인 시 기존 차량을 BPS에 매각할 수 있습니까?,"네. BMW 공식 인증중고차 딜러는 신차 구매 시 편리한 기존 차량 매각이 가능합니다. 또한, BPS에 차량 매각 후 신차 구매 시 트레이드인 혜택을 통하여 매각 하신 차량의 매입가에 혜택을 제공합니다."
59,구매 & 리스,BMW 프리미엄 셀렉션 차량에는 어떤 구매 장점이 있습니까?,"BMW 프리미엄 셀렉션 차량에는 모든 기계식 및 전자 제어식 부품에 1년 2만km의 BMW 프리미엄 샐렉션 보증이 적용됩니다 (단, 보증 조건에 따름). 해당 기간 동안 사용자 설명서의 사용지침에 따라 정상적으로 관리/사용한 경우에 한하여 차량 운행과 안전에 직접적인 영향을 미치는 고장이 기술적 분석을 통애 밝혀진..."
60,구매 & 리스,"""BMW 디지털 프리미엄"" 상품의 앱스토어에서 인앱 구매로 인해 비용이 발생합니까?",오퍼레이팅 시스템 9 및 BMW 디지털 프리미엄을 탑재한 BMW에서 인앱 구매를 진행하면 비용이 발생할 수 있습니다. BMW에 설치된 SIM-카드를 통한 무제한 데이터량을 이용한 앱 사용 자체는 BMW 디지털 프리미엄 서비스 가격에 포함되어 있습니다.
61,전기차 & 충전,내 BMW 전기 자동차용 타이어 구매 시 어떤 점에 주의해야 합니까?,BMW 전기 자동차에는 특수 고무 혼합을 적용한 타이어를 사용할 수 있습니다. 보다 높은 부하와 보다 낮은 롤링 저항을 위해 이 타이어를 개발했습니다. BMW 전기 자동차용 타이어 구매 시 타이어의 하중 지수가 충분히 높은지 주의하십시오.
62,차량 정보 & 옵션,내 BMW 컨버터블을 위해 윈드 디플렉터를 액세서리로 구입할 수 있습니까?,예 BMW 컨버터블용 윈드 디플렉터를 BMW 공식 서비스센터에게서 구입할 수 있습니다.
63,구매 & 리스,BMW iX2 (2024년 3월)의 경우 어떤 모델이 구매 가능합니까?,BMW iX2(2024년 3월)의 경우 전동화 모델인 BMW iX2 eDrive20이 제공됩니다.
64,구매 & 리스,BMW 인증중고 차량은 리스 승계가 가능합니까?,"예. BPS에서 차량 구매/매각 시 합리적인 금융 프로그램을 제공하며, BMW 파이낸셜의 다양한 리스/할부 상품을 통해 고객님의 예산에 맞는 최적의 상품을 제공합니다."
65,구매 & 리스,BMW 인증 중고차를 구매할 시 혜택은 어떤 것이 있습니까?,"BMW 인증중고차(BPS)에서 차량을 구매할 경우 아래와 같은 혜택이 있습니다. - 360도 서라운드 체크를 통해 BMW 공식 테크니션의 전문 지식으로 차량의 모든 핵심 항목들을 점검하며, 고객님께 해당 차량의 정비 이력을 투명하게 공개합니다."
66,구매 & 리스,BMW 신차를 온라인으로 구입한 후에도 주문을 변경할 수 있습니까?,"BMW 신차의 온라인 구매에 대한 후속 변경을 원하시는 경우, 구매 계약을 체결한 BMW 공식 딜러사에게 연락하십시오."
67,구매 & 리스,BMW 신차를 온라인으로 구입하는 방법은 무엇입니까?,"BMW 샵 온라인 웹사이트에서 BMW 신차의 온라인 구매를 시작하실 수 있습니다. 원하시는 차량을 선택한 후, 공식 딜러사 및 쇼룸을 선택하고 주문 절차의 다음 단계를 실시합니다."
68,구매 & 리스,온라인 구매 시 BMW 신차에 대한 계약금은 얼마입니까?,"BMW 신차를 온라인으로 구입하는 경우, 현금 및 BMW Financial Services를 통한 리스 또는 할부 옵션 중 하나를 선택할 수 있습니다. 계약금은 BMW 공식 딜러사, 선택한 결제 옵션, 차량 모델 및 사양에 따라 다를 수 있습니다."
69,디지털 & 커넥티드 서비스,BMW CarData를 더 이상 사용하지 않으려고 합니다. My BMW 포탈에서 저장된 데이터를 스스로 삭제해야 합니까?,아니오. BMW CarData를 통해 생성된 데이터 아카이브는 정해진 시간 후 자동으로 삭제됩니다. BMW는 BMW 차량 구매 시 CarData 리셋을 권장합니다.
70,디지털 & 커넥티드 서비스,BMW Store 제품의 결제 방식은 어떻게 됩니까?,원하시는 BMW 공식 서비스 센터에서 BMW 액세서리 스토어 에 있는 제품을 구매합니다. BMW 공식 서비스 센터가 수락한 결제 수단이 구매 과정에서 표시됩니다. 주의 사항: 결제 수단은 BMW 공식 서비스 센터에 따라 다를 수 있습니다.
71,구매 & 리스,온라인 구매 시 BMW 신차의 권장소비자가격은 어떻게 계산됩니까?,인터넷에서 BMW 신차에 대한 권장소비자가격은 BMW 공식 딜러사의 고정 판매 가격에 해당합니다. 실제 딜러사의 가격은 신차가격과 다를 수 있습니다. 구매 과정에서 선택한 선택사양 및 결제 옵션에 따라 권장소비자가격이 변경될 수 있습니다.
